id,lang_desc,lang_short
1,English,EN
2,Chinese,CN
3,Chinese_tw,CN
4,Cantonese,CN
5,Japanese,JP
6,Korean,KR
7,Spanish,ES
8,French,FR
9,Portuguese,PT
10,German,DE
11,Italian,IT
12,Russian,RU
13,Arabic,AR
14,Turkish,TR
15,Persian,FA
16,Azerbaijani,AZ
17,Thai,TH
18,Indonesian,ID
19,Malay,MS
20,Tagalog,TL
21,Vietnamese,VI
22,Dutch,NL
23,Danish,DA
24,Finnish,FI
25,Norwegian,NO
26,Swedish,SV
27,Catalan,CA
28,Hebrew,HE
29,Polish,PL
30,Greek,EL
31,Czech,CS
32,Ukrainian,UK
33,Romanian,RO
34,Hungarian,HU
35,Bulgarian,BG
36,Croatian,HR
37,Serbian,SR
38,Slovak,SK
39,Hindi,HI
40,Afrikaans,AF
41,Esperanto,EO
42,Yiddish,YI
43,Lithuanian,LT
44,Urdu,UR
45,Tamil,TA
46,Bengali,BN
47,Mongolian,MN
48,Bosnian,BS
49,Punjabi,PA
50,Nepali,NE
51,Albanian,SQ
52,Armenian,HY
53,Basque,EU
54,Belarusian,BE
55,Cebuano,CEB
56,Estonian,ET
57,Galician,GL
58,Georgian,KA
59,Gujarati,GU
60,HaitianCreole,HT
61,Hausa,HA
62,Hmong,HMN
63,Icelandic,IS
64,Igbo,IG
65,Gaelic,GA
66,Javanese,JV
67,Kannada,KN
68,Khmer,KM
69,Lao,LO
70,Latin,LA
71,Latvian,LV
72,Macedonian,MK
73,Maltese,MT
74,Maori,MI
75,Marathi,MR
76,Slovenian,SL
77,Somali,SO
78,Swahili,SW
79,Telugu,TE
80,Welsh,CY
81,Yoruba,YO
82,Zulu,ZU
83,Shanghai,CN
84,Kurdish_So,KU
85,Maithili,MZ
86,Malayalam,ML
87,Oriya,OR
88,Chewa,NY
89,Malagasy,MG
90,Sesotho,ST
91,Myanmar,MY
92,Sinhala,SI
93,Sundanese,SU
94,Kazakh,KK
95,Tajik,TG
96,Uzbek,UZ
97,Hokkien,CN
98,Amharic,AM
99,Flemish,VL
100,Navajo,NV
101,Kyrgyz,KY
102,Frisian,FY
103,TokiPona,TP
104,Ojibwa,OJ
105,Dakota,DK
106,Apache,AP
107,Choctaw,CO
108,Xhosa,XH
109,Tswana,TN
110,Tsonga,TS
111,Swazi,SS
112,Venda,VE
113,Ndebele,NR
114,LinguaFrancaNova,LF
115,Interlingua,IA
116,Ido,IO
117,Gaelic_Scottish,GD
118,Kurdish_Kur,KU
119,Kurdish_Peh,KU
120,Klingon,LH
121,Dothraki,DO
122,Valyrian,VA
123,Hawaiian,HW
124,Sign_Language,BL
125,Pashto,PS
126,Afar,AA
127,Quechuan,QU
128,Nhuatl,NH
129,Filipino,PH
130,Odia,NULL
131,Sindhi,NULL
132,Assamese,NULL
133,Shona,SN
134,Oromo,NULL
135,Akan,AK
136,Kinyarwanda,NULL
137,Turkmen,TK
138,Fula,NULL
139,Kirundi,NULL
140,Tigrinya,TI
141,Gikuyu,NULL
142,Kongo,NULL
143,Lingala,NULL
144,Wolof,WO
145,Luganda,NULL
146,Abkhaz,GE
147,Bashkir,BA
148,Bambara,NULL
149,Maldivian,NULL
150,Sanskrit,NULL
151,Aymara,AY
152,Guarani,NULL
153,Mayan,GT
154,Santali,NULL
155,Kashmiri,NULL
156,Dogri,NULL
157,Konkani,NULL
158,Meitei(Manipuri),NULL
159,Bodo,BRX
160,Dzongkha,DAR
161,Acehnese,ACE
162,Acholi,ACH
163,Alur,ALZ
164,Avar,AV
165,Awadhi,AWA
166,Balinese,BAN
167,Baluchi,BAL
168,Baoulé,BCI
169,BatakKaro,BTX
170,BatakSimalungun,BTS
171,BatakToba,BBC
172,Bemba,BEM
173,Betawi,BEW
174,Bhojpuri,BHO
175,Bikol,BIK
176,Breton,BR
177,Buryat,BUA
178,Chamorro,CH
179,Chechen,CE
180,Chuukese,CHK
181,Chuvash,CV
182,Corsican,CO
184,CrimeanTatarLatin,CRH
185,Dinka,DIN
186,Dombe,NDQ
187,Dyula,DYU
188,Dzongkha,DZ
189,Ewe,EE
190,Faroese,FO
191,Fijian,FJ
192,Fon,FON
193,Friulian,FUR
194,Ga,GAA
195,HakhaChin,CNH
196,Hiligaynon,HIL
197,Hunsrik,HRX
198,Iban,IBA
199,Ilocano,ILO
200,InuktutLatin,IU
202,JamaicanPatois,JAM
203,Jingpo,KAC
204,Kalaallisut,KL
205,Kanuri,KR
206,Kapampangan,PAM
207,Khasi,KHA
208,Kiga,CGG
209,Kituba,KTU
210,Kokborok,TRP
211,Komi,KV
212,Krio,KRI
213,Latgalian,LTG
214,Ligurian,LIJ
215,Limburgish,LI
216,Lombard,LMO
217,Luo,LUO
218,Luxembourgish,LB
219,Madurese,MAD
220,Makassar,MAK
221,MalayJawi,MS
222,Mam,mam
223,Manx,GV
224,Marshallese,MH
225,Marwadi,mwr
226,MauritianCreole,MFE
227,MeadowMari,MHR
228,Minang,MIN
229,Mizo,LUS
230,Ndau,NDC
231,NepalbhasaNewari,NEW
232,NKo,NQO
233,Nuer,NUS
234,Occitan,OC
235,Ossetian,OS
236,Pangasinan,PAG
237,Papiamento,PAP
238,Qeqchi,KEK
239,Romani,ROM
240,SamiNorth,SE
241,Samoan,SM
242,Sango,SG
243,Sepedi,NSO
244,SeychelloisCreole,CRS
245,Shan,SHN
246,Sicilian,SCN
247,Silesian,SZL
248,Susu,SUS
249,Tahitian,TAH
250,Tamazight,TZM
251,TamazightTifinagh,BER
252,Tatar,TAT
253,Tetum,TET
254,Tiv,TIV
255,TokPisin,TPI
256,Tongan,TO
257,Tshiluba,LUA
258,Tulu,TCY
259,Tumbuka,TUM
260,Tuvan,TYV
261,Twi,TW
262,Udmurt,UDM
263,Venetian,VEC
264,Waray,WAR
265,Yakut,SAH
266,YucatecMaya,YUA
267,Zapotec,ZAP
